12:57:18.153 >> td
12:57:18.203 trigger debug on
12:57:18.506 >> v
12:57:18.870 a=2243293,b=2242469
12:57:18.870 a=2241340,b=2242469
12:57:18.870 a=2242412,b=2242412
12:57:18.870 a=2245481,b=2242412
12:57:18.870 a=2244155,b=2244155
12:57:18.870 a=2238527,b=2244155
12:57:18.870 a=2240232,b=2240232
12:57:18.870 a=2241676,b=2240232
12:57:18.870 a=2243599,b=2241676
12:57:18.870 a=2242190,b=2242190
12:57:18.870 a=2242002,b=2242190
12:57:18.870 a=2240717,b=2242002
12:57:18.870 a=2241232,b=2241232
12:57:18.870 a=2244328,b=2241232
12:57:18.870 a=2243475,b=2243475
12:57:18.870 a=2241551,b=2243475
12:57:18.870 a=2241186,b=2241551
12:57:18.870 a=2242065,b=2241551
12:57:18.870 a=2245951,b=2242065
12:57:18.870 a=2244322,b=2244322
12:57:18.870 a=2243828,b=2244322
12:57:18.870 a=2244630,b=2244322
12:57:18.870 a=2245843,b=2244630
12:57:18.870 a=2248604,b=2245843
12:57:18.870 a=2242157,b=2245843
12:57:18.870 a=2238920,b=2242157
12:57:18.870 a=2239812,b=2239812
12:57:18.870 a=2240677,b=2239812
12:57:18.870 a=2239502,b=2239812
12:57:18.870 a=2239550,b=2239550
12:57:18.870 a=2240333,b=2239550
12:57:18.870 a=2241296,b=2240333
12:57:18.870 a=2242940,b=2241296
12:57:18.870 a=2243444,b=2242940
12:57:18.870 a=2239951,b=2242940
12:57:18.870 a=2240307,b=2240307
12:57:18.870 a=2240232,b=2240232
12:57:18.870 a=2241239,b=2240307
12:57:18.871 a=2242676,b=2241239
12:57:18.871 a=2241428,b=2241428
12:57:18.871 a=2240508,b=2241428
12:57:18.871 a=2242853,b=2241428
12:57:18.871 a=2239205,b=2240508
12:57:18.871 a=2241344,b=2241344
12:57:18.871 a=2245659,b=2241344
12:57:18.871 a=2245312,b=2245312
12:57:18.871 a=2243711,b=2245312
12:57:18.871 a=2243464,b=2243711
12:57:18.871 a=2241883,b=2243464
12:57:18.871 a=2240665,b=2241883
12:57:18.871 a=2239140,b=2240665
12:57:18.871 a=2240471,b=2240471
12:57:18.871 a=2242372,b=2240471
12:57:18.871 a=2244441,b=2242372
12:57:18.871 a=2247313,b=2244441
12:57:18.871 a=2241765,b=2244441
12:57:18.871 a=2241827,b=2241827
12:57:18.871 a=2241441,b=2241765
12:57:18.871 a=2239666,b=2241441
12:57:18.871 a=2240766,b=2240766
12:57:18.871 a=2240167,b=2240167
12:57:18.871 a=2238662,b=2240167
12:57:18.871 a=2239397,b=2239397
12:57:18.871 a=2240217,b=2239397
12:57:18.921 a=2244974,b=2240217
12:57:18.922 a=2245880,b=2244974
12:57:18.922 a=2242653,b=2244974
12:57:18.922 a=2242449,b=2242653
12:57:18.922 a=2242078,b=2242449
12:57:18.922 a=2239051,b=2242078
12:57:18.922 a=2239704,b=2239704
12:57:18.922 a=2238643,b=2239051
12:57:18.922 a=2239937,b=2239704
12:57:18.922 a=2242226,b=2239937
12:57:18.922 a=2241595,b=2241595
12:57:18.922 a=2242782,b=2242226
12:57:18.922 a=2244839,b=2242782
12:57:18.922 a=2243218,b=2243218
12:57:18.922 a=2241777,b=2243218
12:57:18.922 a=2240537,b=2241777
12:57:18.922 a=2245454,b=2241777
12:57:18.922 a=2245727,b=2245454
12:57:18.922 a=2245432,b=2245454
12:57:18.922 a=2240960,b=2245432
12:57:18.922 a=2240736,b=2240960
12:57:18.922 a=2244291,b=2240960
12:57:18.922 a=2240038,b=2240736
12:57:18.922 a=2239134,b=2240038
12:57:18.922 a=2241571,b=2240038
12:57:18.922 a=2240952,b=2240952
12:57:18.922 a=2237080,b=2240952
12:57:18.922 a=2243040,b=2240952
12:57:18.922 a=2244422,b=2243040
12:57:18.922 a=2240527,b=2243040
12:57:18.922 a=2238721,b=2240527
12:57:18.923 a=2240986,b=2240527
12:57:18.923 a=2242209,b=2240986
12:57:18.923 a=2243710,b=2242209
12:57:18.923 a=2244309,b=2243710
12:57:18.923 a=2244633,b=2244309
12:57:18.923 a=2243395,b=2244309
12:57:18.923 a=2242790,b=2243395
12:57:18.923 a=2242228,b=2242790
12:57:18.923 a=2239397,b=2242228
12:57:18.923 a=2235647,b=2239397
12:57:18.923 a=2240065,b=2239397
12:57:18.923 a=2243997,b=2240065
12:57:18.923 a=2239585,b=2240065
12:57:18.923 a=2240216,b=2240216
12:57:18.923 a=2241958,b=2240216
12:57:18.923 a=2238733,b=2240216
12:57:18.923 a=2239772,b=2239772
12:57:18.923 a=2240913,b=2239772
12:57:18.923 a=2243079,b=2240913
12:57:18.923 a=2243262,b=2243079
12:57:18.923 a=2243739,b=2243262
12:57:18.923 a=2243609,b=2243609
12:57:18.923 a=2244434,b=2243739
12:57:18.923 a=2242965,b=2243609
12:57:18.923 a=2240363,b=2242965
12:57:18.923 a=2243725,b=2242965
12:57:18.923 a=2244860,b=2243725
12:57:18.923 a=2242951,b=2243725
12:57:18.923 a=2240776,b=2242951
12:57:18.923 a=2243835,b=2242951
12:57:18.923 a=2241224,b=2241224
12:57:18.923 a=2236660,b=2241224
12:57:18.923 a=2239153,b=2239153
12:57:18.923 a=2242305,b=2239153
12:57:18.923 a=2242759,b=2242305
12:57:18.923 a=2238790,b=2242305
12:57:18.923 a=2235428,b=2238790
12:57:18.974 a=2240812,b=2238790
12:57:18.974 a=2241634,b=2240812
12:57:18.974 a=2243042,b=2241634
12:57:18.974 a=2243561,b=2243042
12:57:18.974 a=2242172,b=2243042
12:57:18.974 a=2242762,b=2242762
12:57:18.974 a=2239362,b=2242172
12:57:18.974 a=2236120,b=2239362
12:57:18.974 a=2237857,b=2237857
12:57:18.974 a=2238202,b=2237857
12:57:18.974 a=2242108,b=2238202
12:57:18.974 a=2244088,b=2242108
12:57:18.974 a=2243113,b=2243113
12:57:18.974 a=2238693,b=2243113
12:57:18.974 a=2240404,b=2240404
12:57:18.974 a=2241101,b=2240404
12:57:18.974 a=2243535,b=2241101
12:57:18.974 a=2248105,b=2243535
12:57:18.974 a=2241882,b=2243535
12:57:18.974 a=2241807,b=2241882
12:57:18.974 a=2245220,b=2241882
12:57:18.974 a=2242208,b=2242208
12:57:18.974 a=2239580,b=2242208
12:57:18.974 a=2241915,b=2241915
12:57:18.974 a=2244754,b=2241915
12:57:18.974 a=2245599,b=2244754
12:57:18.974 a=2241827,b=2244754
12:57:18.974 a=2239564,b=2241827
12:57:18.974 a=2243914,b=2241827
12:57:18.975 a=2243906,b=2243906
12:57:18.975 a=2237062,b=2243906
12:57:18.975 a=2239082,b=2239082
12:57:18.975 a=2244036,b=2239082
12:57:18.975 a=2244199,b=2244036
12:57:18.975 a=2241555,b=2244036
12:57:18.975 a=2243148,b=2243148
12:57:18.975 a=2243599,b=2243148
12:57:18.975 a=2246124,b=2243599
12:57:18.975 a=2244958,b=2244958
12:57:18.975 a=2241673,b=2244958
12:57:18.975 a=2240187,b=2241673
12:57:18.975 a=2239557,b=2240187
12:57:18.975 a=2238000,b=2239557
12:57:18.975 a=2241300,b=2239557
12:57:18.975 a=2242794,b=2241300
12:57:18.975 a=2241369,b=2241369
12:57:18.975 a=2243171,b=2242794
12:57:18.975 a=2245535,b=2243171
12:57:18.975 a=2242095,b=2243171
12:57:18.975 a=2242303,b=2242303
12:57:18.975 a=2242227,b=2242227
12:57:18.975 a=2239592,b=2242227
12:57:18.975 a=2241651,b=2241651
12:57:18.975 a=2242089,b=2241651
12:57:18.975 a=2240224,b=2241651
12:57:18.975 a=2241209,b=2241209
12:57:18.975 a=2246299,b=2241209
12:57:18.975 a=2243724,b=2243724
12:57:18.975 a=2242400,b=2243724
12:57:18.975 a=2239947,b=2242400
12:57:18.975 a=2240174,b=2240174
12:57:18.975 a=2240119,b=2240119
12:57:18.975 a=2238509,b=2240119
12:57:18.975 a=2242115,b=2240119
12:57:18.975 a=2244041,b=2242115
12:57:18.975 a=2238348,b=2242115
12:57:18.975 a=2235885,b=2238348
12:57:18.976 a=2242352,b=2238348
12:57:19.026 a=2246486,b=2242352
12:57:19.026 a=2243276,b=2243276
12:57:19.026 a=2244974,b=2244974
12:57:19.026 a=2246968,b=2244974
12:57:19.026 a=2245732,b=2245732
12:57:19.026 a=2239587,b=2245732
12:57:19.026 a=2237826,b=2239587
12:57:19.026 a=2241651,b=2239587
12:57:19.026 a=2241743,b=2241651
12:57:19.026 a=2242413,b=2241743
12:57:19.026 a=2242154,b=2242154
12:57:19.026 a=2238702,b=2242154
12:57:19.026 a=2243344,b=2242154
12:57:19.026 a=2242705,b=2242705
12:57:19.026 a=2240126,b=2242705
12:57:19.027 a=2245995,b=2242705
12:57:19.027 a=2244384,b=2244384
12:57:19.027 a=2241950,b=2244384
12:57:19.027 a=2240613,b=2241950
12:57:19.027 a=2239343,b=2240613
12:57:19.027 a=2240267,b=2240267
12:57:19.027 a=2240668,b=2240267
12:57:19.027 a=2240310,b=2240310
12:57:19.027 a=2239920,b=2240310
12:57:19.027 a=2238664,b=2239920
12:57:19.027 a=2238904,b=2238904
12:57:19.027 a=2240932,b=2238904
12:57:19.027 a=2242103,b=2240932
12:57:19.027 a=2236315,b=2240932
12:57:19.027 a=2236936,b=2236936
12:57:19.027 a=2241145,b=2236936
12:57:19.027 a=2245130,b=2241145
12:57:19.027 a=2246725,b=2245130
12:57:19.027 a=2245664,b=2245664
12:57:19.027 a=2243173,b=2245664
12:57:19.027 a=2243319,b=2243319
12:57:19.027 a=2240066,b=2243173
12:57:19.027 a=2237743,b=2240066
12:57:19.027 a=2242671,b=2240066
12:57:19.027 a=2244130,b=2242671
12:57:19.027 a=2240466,b=2242671
