12:26:09.037 >> td
12:26:09.091 trigger debug on
12:26:09.447 >> v
12:26:09.876 a=2244254,b=2241844
12:26:09.876 a=2245627,b=2244254
12:26:09.876 a=2241537,b=2244254
12:26:09.876 a=2240006,b=2241537
12:26:09.876 a=2242627,b=2241537
12:26:09.876 a=2242952,b=2242627
12:26:09.876 a=2235809,b=2242627
12:26:09.876 a=2237271,b=2237271
12:26:09.876 a=2241465,b=2237271
12:26:09.876 a=2240178,b=2240178
12:26:09.876 a=2242201,b=2241465
12:26:09.876 a=2243959,b=2242201
12:26:09.876 a=2241764,b=2242201
12:26:09.876 a=2241265,b=2241764
12:26:09.876 a=2239009,b=2241265
12:26:09.876 a=2237624,b=2239009
12:26:09.876 a=2238383,b=2238383
12:26:09.876 a=2239451,b=2238383
12:26:09.876 a=2234313,b=2238383
12:26:09.876 a=2238467,b=2238467
12:26:09.876 a=2243721,b=2238467
12:26:09.876 a=2244354,b=2243721
12:26:09.876 a=2243130,b=2243721
12:26:09.876 a=2240314,b=2243130
12:26:09.926 a=2239349,b=2240314
12:26:09.927 a=2240648,b=2240314
12:26:09.927 a=2238896,b=2239349
12:26:09.927 a=2237234,b=2238896
12:26:09.927 a=2237088,b=2237234
12:26:09.927 a=2239887,b=2237234
12:26:09.927 a=2245911,b=2239887
12:26:09.927 a=2246917,b=2245911
12:26:09.927 a=2243824,b=2245911
12:26:09.927 a=2240825,b=2243824
12:26:09.927 a=2242815,b=2242815
12:26:09.927 a=2245964,b=2242815
12:26:09.927 a=2245292,b=2245292
12:26:09.927 a=2246017,b=2245964
12:26:09.927 a=2242337,b=2245292
12:26:09.927 a=2236698,b=2242337
12:26:09.927 a=2237455,b=2237455
12:26:09.927 a=2240358,b=2237455
12:26:09.927 a=2242464,b=2240358
12:26:09.927 a=2242345,b=2242345
12:26:09.927 a=2243235,b=2242464
12:26:09.927 a=2240440,b=2242345
12:26:09.927 a=2239906,b=2240440
12:26:09.927 a=2242467,b=2240440
12:26:09.927 a=2241835,b=2241835
12:26:09.927 a=2240759,b=2241835
12:26:09.927 a=2238323,b=2240759
12:26:09.927 a=2232694,b=2238323
12:26:09.927 a=2238515,b=2238323
12:26:09.927 a=2238225,b=2238225
12:26:09.927 a=2236997,b=2238225
12:26:09.927 a=2236647,b=2236997
