12:42:02.723 >> td
12:42:02.773 trigger debug on
12:42:03.076 >> v
12:42:03.459 a=2235533,b=2235533
12:42:03.459 a=2235266,b=2235266
12:42:03.459 a=2235019,b=2235266
12:42:03.459 a=2239978,b=2235266
12:42:03.459 a=2239906,b=2239906
12:42:03.459 a=2239046,b=2239906
12:42:03.459 a=2237094,b=2239046
12:42:03.510 a=2237906,b=2237906
12:42:03.510 a=2239684,b=2237906
12:42:03.510 a=2237602,b=2237906
12:42:03.510 a=2238118,b=2238118
12:42:03.510 a=2239263,b=2238118
12:42:03.510 a=2234888,b=2238118
12:42:03.510 a=2241286,b=2239263
12:42:03.510 a=2243772,b=2241286
12:42:03.510 a=2238821,b=2241286
12:42:03.510 a=2237605,b=2238821
12:42:03.510 a=2239011,b=2238821
12:42:03.510 a=2238124,b=2238124
12:42:03.510 a=2238704,b=2238704
12:42:03.510 a=2239856,b=2238704
12:42:03.510 a=2241566,b=2239856
12:42:03.511 a=2240000,b=2240000
12:42:03.511 a=2239466,b=2240000
12:42:03.511 a=2239923,b=2239923
12:42:03.511 a=2240548,b=2239923
12:42:03.511 a=2239540,b=2239923
12:42:03.511 a=2238988,b=2239540
12:42:03.511 a=2239951,b=2239540
12:42:03.511 a=2241072,b=2239951
12:42:03.511 a=2240031,b=2240031
12:42:03.511 a=2240076,b=2240076
12:42:03.511 a=2238201,b=2240031
12:42:03.511 a=2237530,b=2238201
12:42:03.511 a=2240713,b=2238201
12:42:03.511 a=2242096,b=2240713
12:42:03.511 a=2240426,b=2240713
12:42:03.511 a=2238382,b=2240426
12:42:03.511 a=2241082,b=2240426
12:42:03.511 a=2239216,b=2239216
12:42:03.511 a=2238367,b=2239216
12:42:03.511 a=2241099,b=2239216
12:42:03.511 a=2238456,b=2238456
12:42:03.511 a=2238117,b=2238456
12:42:03.511 a=2240909,b=2238456
12:42:03.511 a=2240307,b=2240307
12:42:03.511 a=2239065,b=2240307
12:42:03.511 a=2235740,b=2239065
12:42:03.511 a=2237939,b=2237939
12:42:03.511 a=2238161,b=2237939
12:42:03.512 a=2237587,b=2237939
12:42:03.512 a=2237273,b=2237587
12:42:03.512 a=2238376,b=2237587
12:42:03.512 a=2240591,b=2238376
12:42:03.512 a=2239152,b=2239152
12:42:03.512 a=2234623,b=2239152
12:42:03.512 a=2236326,b=2236326
12:42:03.512 a=2240593,b=2236326
12:42:03.512 a=2241274,b=2240593
12:42:03.512 a=2240121,b=2240593
12:42:03.512 a=2240336,b=2240336
12:42:03.512 a=2237115,b=2240121
12:42:03.512 a=2236826,b=2237115
12:42:03.512 a=2238006,b=2237115
12:42:03.512 a=2240819,b=2238006
12:42:03.512 a=2239448,b=2239448
12:42:03.512 a=2237463,b=2239448
12:42:03.512 a=2238515,b=2238515
12:42:03.512 a=2237995,b=2237995
12:42:03.513 a=2237877,b=2237995
12:42:03.513 a=2237046,b=2237877
12:42:03.513 a=2238896,b=2237877
12:42:03.513 a=2240372,b=2238896
12:42:03.513 a=2243646,b=2240372
12:42:03.513 a=2242181,b=2242181
12:42:03.563 a=2240585,b=2242181
12:42:03.563 a=2242393,b=2242181
12:42:03.563 a=2242695,b=2242393
12:42:03.563 a=2239831,b=2242393
12:42:03.563 a=2241011,b=2241011
12:42:03.563 a=2240365,b=2240365
12:42:03.563 a=2237655,b=2240365
12:42:03.563 a=2237481,b=2237655
12:42:03.563 a=2238617,b=2237655
12:42:03.563 a=2237606,b=2237606
12:42:03.563 a=2239523,b=2238617
12:42:03.563 a=2240400,b=2239523
12:42:03.564 a=2238423,b=2239523
12:42:03.564 a=2239686,b=2239686
12:42:03.564 a=2243788,b=2239686
12:42:03.564 a=2239856,b=2239856
12:42:03.564 a=2238761,b=2239856
12:42:03.564 a=2240085,b=2239856
12:42:03.564 a=2238969,b=2238969
12:42:03.564 a=2237999,b=2238969
12:42:03.564 a=2238382,b=2238382
12:42:03.564 a=2238024,b=2238024
12:42:03.564 a=2239468,b=2238382
12:42:03.564 a=2239606,b=2239468
12:42:03.564 a=2236153,b=2239468
12:42:03.564 a=2238258,b=2238258
12:42:03.564 a=2239780,b=2238258
12:42:03.564 a=2239069,b=2239069
12:42:03.564 a=2235729,b=2239069
12:42:03.564 a=2237140,b=2237140
12:42:03.564 a=2238843,b=2237140
12:42:03.564 a=2236241,b=2237140
12:42:03.564 a=2237942,b=2237942
12:42:03.564 a=2240585,b=2237942
12:42:03.564 a=2242227,b=2240585
12:42:03.564 a=2242184,b=2242184
12:42:03.564 a=2237397,b=2242184
12:42:03.564 a=2237591,b=2237591
12:42:03.564 a=2235100,b=2237397
12:42:03.564 a=2236137,b=2236137
12:42:03.564 a=2240294,b=2236137
12:42:03.564 a=2239859,b=2239859
12:42:03.564 a=2239022,b=2239859
12:42:03.564 a=2240416,b=2239859
12:42:03.564 a=2238769,b=2239022
12:42:03.564 a=2240373,b=2240373
12:42:03.564 a=2240384,b=2240373
12:42:03.564 a=2237879,b=2240373
12:42:03.564 a=2237456,b=2237879
12:42:03.565 a=2236420,b=2237456
12:42:03.565 a=2240172,b=2237456
12:42:03.565 a=2246775,b=2240172
12:42:03.565 a=2243057,b=2243057
12:42:03.565 a=2240845,b=2243057
12:42:03.565 a=2239052,b=2240845
12:42:03.565 a=2239326,b=2239326
12:42:03.565 a=2241116,b=2239326
12:42:03.565 a=2237341,b=2239326
12:42:03.565 a=2235596,b=2237341
12:42:03.565 a=2235338,b=2235596
12:42:03.565 a=2238689,b=2235596
12:42:03.565 a=2239963,b=2238689
12:42:03.565 a=2239932,b=2239932
12:42:03.565 a=2241399,b=2239963
12:42:03.565 a=2239381,b=2239932
12:42:03.565 a=2235795,b=2239381
12:42:03.565 a=2235807,b=2235807
12:42:03.565 a=2238052,b=2235807
12:42:03.565 a=2241593,b=2238052
12:42:03.615 a=2241980,b=2241593
12:42:03.615 a=2241569,b=2241593
12:42:03.615 a=2238680,b=2241569
12:42:03.615 a=2241067,b=2241067
12:42:03.615 a=2239505,b=2239505
12:42:03.615 a=2238399,b=2239505
12:42:03.615 a=2240916,b=2239505
12:42:03.616 a=2239728,b=2239728
12:42:03.616 a=2235134,b=2239728
12:42:03.616 a=2236467,b=2236467
12:42:03.616 a=2238648,b=2236467
12:42:03.616 a=2236962,b=2236962
12:42:03.616 a=2233029,b=2236962
12:42:03.616 a=2235326,b=2235326
12:42:03.616 a=2242023,b=2235326
12:42:03.616 a=2243456,b=2242023
12:42:03.616 a=2237840,b=2242023
12:42:03.616 a=2237733,b=2237840
12:42:03.616 a=2238551,b=2237840
12:42:03.616 a=2237363,b=2237733
12:42:03.616 a=2236995,b=2237363
12:42:03.616 a=2235037,b=2236995
12:42:03.616 a=2238469,b=2236995
12:42:03.616 a=2242448,b=2238469
12:42:03.616 a=2244197,b=2242448
12:42:03.616 a=2243562,b=2243562
12:42:03.616 a=2241975,b=2243562
12:42:03.616 a=2238388,b=2241975
12:42:03.616 a=2237348,b=2238388
12:42:03.616 a=2235167,b=2237348
12:42:03.616 a=2233886,b=2235167
12:42:03.616 a=2234079,b=2234079
12:42:03.616 a=2236800,b=2234079
12:42:03.616 a=2238446,b=2236800
12:42:03.616 a=2235752,b=2236800
12:42:03.616 a=2237405,b=2237405
12:42:03.616 a=2240334,b=2237405
12:42:03.616 a=2240296,b=2240296
12:42:03.616 a=2241859,b=2240334
12:42:03.616 a=2234582,b=2240296
12:42:03.616 a=2234307,b=2234582
12:42:03.616 a=2237447,b=2234582
12:42:03.616 a=2242464,b=2237447
12:42:03.616 a=2240598,b=2240598
12:42:03.616 a=2236662,b=2240598
12:42:03.616 a=2237488,b=2237488
12:42:03.616 a=2237962,b=2237488
12:42:03.616 a=2237434,b=2237488
12:42:03.617 a=2241811,b=2237962
12:42:03.617 a=2242104,b=2241811
12:42:03.617 a=2237315,b=2241811
12:42:03.617 a=2238379,b=2238379
12:42:03.617 a=2241331,b=2238379
12:42:03.617 a=2242082,b=2241331
12:42:03.617 a=2239478,b=2241331
12:42:03.617 a=2237580,b=2239478
