time,slab_S5,mat_S2,setpoint,pwm,state
22:50:47,104.44,137.44,105.0,0.605,active
22:51:03,104.42,142.29,105.0,0.675,active
22:51:19,104.37,147.26,105.0,0.778,active
22:51:35,104.44,152.35,105.0,0.879,active
22:51:51,104.58,157.46,105.0,0.950,active
22:52:07,104.60,162.33,105.0,0.991,active
22:52:23,104.81,165.58,105.0,0.249,active
22:52:39,105.00,164.86,105.0,0.920,active
22:52:55,105.13,164.02,105.0,0.798,active
22:53:11,105.29,164.60,105.0,0.411,active
22:53:27,105.42,164.55,105.0,0.696,active
22:53:43,105.58,164.75,105.0,0.376,active
22:53:59,105.74,162.73,105.0,0.329,active
22:54:15,105.71,159.28,105.0,0.128,active
22:54:31,105.82,154.16,105.0,0.00821,active
22:54:47,105.82,148.78,105.0,3.083e-4,active
22:55:03,105.74,144.27,105.0,1.157e-5,active
22:55:19,105.74,140.61,105.0,4.340e-7,active
22:55:34,105.56,137.61,105.0,1.716e-4,active
22:55:50,105.42,135.19,105.0,1.495e-4,active
22:56:06,105.34,133.17,105.0,8.758e-4,active
22:56:22,105.26,131.49,0,2.912e-4,active
22:56:38,105.05,130.07,0,1.093e-5,active
22:56:55,104.95,128.81,0,3.896e-7,off
22:57:10,104.81,127.75,0,1.462e-8,off
22:57:26,104.68,126.94,0,5.485e-10,off
22:57:42,104.55,126.13,0,2.167e-11,off
22:57:58,104.37,125.38,0,8.130e-13,off
22:58:14,104.15,124.69,0,3.051e-14,off
22:58:30,103.99,124.12,0,1.145e-15,off
22:58:46,103.86,123.58,0,4.296e-17,off
22:59:02,103.73,123.01,0,1.697e-18,off
22:59:18,103.52,122.50,0,6.367e-20,off
22:59:34,103.41,122.01,0,2.389e-21,off
22:59:50,103.20,121.51,0,8.965e-23,off
23:00:06,103.04,121.05,0,3.364e-24,off
23:00:22,102.94,120.62,0,1.329e-25,off
23:00:38,102.75,120.18,0,4.986e-27,off
23:00:54,102.54,119.71,0,1.871e-28,off
23:01:10,102.38,119.25,0,7.021e-30,off
23:01:26,102.22,118.86,0,2.634e-31,off
23:01:42,102.04,118.49,0,9.886e-33,off
23:01:58,101.83,118.11,0,3.905e-34,off
23:02:13,101.72,117.73,0,1.465e-35,off
23:02:29,101.46,117.41,0,5.498e-37,off
23:02:45,101.32,117.05,0,2.172e-38,off
23:03:01,101.14,116.65,0,8.149e-40,off
23:03:17,100.93,116.27,0,3.058e-41,off
23:03:33,100.71,115.88,0,1.146e-42,off
23:03:49,100.56,115.52,0,4.204e-44,off
23:04:05,100.37,115.16,0,1.261e-44,off
23:04:21,100.16,114.85,0,1.261e-44,off
23:04:37,100.00,114.50,0,1.261e-44,off
23:04:53,99.79,114.18,0,1.261e-44,off
23:05:09,99.61,113.85,0,1.261e-44,off
23:05:25,99.42,113.48,0,1.261e-44,off
23:05:40,99.26,113.12,0,1.261e-44,off
23:05:56,99.11,112.76,0,1.261e-44,off
23:06:12,98.84,112.44,0,1.261e-44,off
23:06:28,98.66,112.17,0,1.261e-44,off
23:06:44,98.45,111.80,0,1.261e-44,off
23:07:00,98.24,111.43,0,1.261e-44,off
23:07:16,98.08,111.12,0,1.261e-44,off
23:07:32,97.84,110.83,0,1.261e-44,off
23:07:48,97.68,110.52,0,1.261e-44,off
23:08:04,97.42,110.16,0,1.261e-44,off
23:08:20,97.24,109.84,0,1.261e-44,off
23:08:36,97.11,109.55,0,1.261e-44,off
23:08:52,96.87,109.25,0,1.261e-44,off
23:09:08,96.66,108.96,0,1.261e-44,off
23:09:24,96.50,108.61,0,1.261e-44,off
23:09:40,96.26,108.26,0,1.261e-44,off
23:09:56,96.08,107.97,0,1.261e-44,off
23:10:12,95.89,107.65,0,1.261e-44,off
23:10:28,95.68,107.35,0,1.261e-44,off
23:10:44,95.50,107.07,0,1.261e-44,off
23:11:00,95.32,106.81,0,1.261e-44,off
23:11:16,95.11,106.56,0,1.261e-44,off
23:11:32,94.87,106.24,0,1.261e-44,off
23:11:48,94.68,105.95,0,1.261e-44,off
23:12:04,94.50,105.65,0,1.261e-44,off
23:12:20,94.29,105.38,0,1.261e-44,off
23:12:36,94.16,105.10,0,1.261e-44,off
23:12:51,93.92,104.85,0,1.261e-44,off
23:13:07,93.71,104.53,0,1.261e-44,off
23:13:23,93.47,104.22,0,1.261e-44,off
