time,probe,Z,status
12:22:51,0,4.97,idle
12:22:51,0,4.97,idle
12:22:51,0,4.97,idle
12:22:51,0,4.97,idle
12:22:51,0,4.97,idle
12:22:51,0,4.97,idle
12:22:51,0,4.97,idle
12:22:51,0,4.97,idle
12:22:52,0,4.97,idle
12:22:52,0,4.97,idle
12:22:52,0,4.97,idle
12:22:52,0,4.97,idle
12:22:52,0,4.97,idle
12:22:52,0,4.97,idle
12:22:52,0,4.97,idle
12:22:52,0,4.97,idle
12:22:53,0,4.97,idle
12:22:53,0,4.97,idle
12:22:53,0,4.97,idle
12:22:53,0,4.97,idle
12:22:53,0,4.97,idle
12:22:53,0,4.97,idle
12:22:53,0,4.97,idle
12:22:53,0,4.97,idle
12:22:53,0,4.97,idle
12:22:53,0,4.97,idle
12:22:54,0,4.97,idle
12:22:54,0,4.97,idle
12:22:54,0,4.97,idle
12:22:54,0,4.97,idle
12:22:54,0,4.97,idle
12:22:54,0,4.97,idle
12:22:54,0,4.97,idle
12:22:54,0,4.97,idle
12:22:54,0,4.97,idle
12:22:54,0,4.97,idle
12:22:55,0,4.97,idle
12:22:55,0,4.97,idle
12:22:55,0,4.97,idle
12:22:55,0,4.97,idle
12:22:55,0,4.97,idle
12:22:55,0,4.97,idle
12:22:55,0,4.97,idle
12:22:55,0,4.97,idle
12:22:55,0,4.97,idle
12:22:56,0,4.97,idle
12:22:56,0,4.97,idle
12:22:56,0,4.97,idle
12:22:56,0,4.97,idle
12:22:56,0,4.97,idle
12:22:56,0,4.97,idle
12:22:56,0,4.97,idle
12:22:56,0,4.97,idle
12:22:56,0,4.97,idle
12:22:57,0,4.97,idle
12:22:57,0,4.97,idle
12:22:57,0,4.97,idle
12:22:57,0,4.97,idle
12:22:57,0,4.97,idle
12:22:57,0,4.97,idle
12:22:57,0,4.97,idle
12:22:57,0,4.97,idle
12:22:57,0,4.97,idle
12:22:57,0,4.97,idle
12:22:58,0,4.97,idle
12:22:58,0,4.97,idle
12:22:58,0,4.97,idle
12:22:58,0,4.97,idle
12:22:58,0,4.97,idle
12:22:58,0,4.97,idle
12:22:58,0,4.97,idle
12:22:58,0,4.97,idle
12:22:58,0,4.97,idle
12:22:58,0,4.97,idle
12:22:59,0,4.97,idle
12:22:59,0,4.97,idle
12:22:59,0,4.97,idle
12:22:59,0,4.97,idle
12:22:59,0,4.97,idle
12:22:59,0,4.97,idle
12:22:59,0,4.97,idle
12:22:59,0,4.97,idle
12:22:59,0,4.97,idle
12:23:00,0,4.97,idle
12:23:00,0,4.97,idle
12:23:00,0,4.97,idle
12:23:00,0,4.97,idle
12:23:00,0,4.97,idle
12:23:00,0,4.97,idle
12:23:00,0,4.97,idle
12:23:00,0,4.97,idle
12:23:00,0,4.97,idle
12:23:01,0,4.97,idle
12:23:01,0,4.97,idle
12:23:01,0,4.97,idle
12:23:01,0,4.97,idle
12:23:01,0,4.97,idle
12:23:01,0,4.97,idle
12:23:01,0,4.97,idle
12:23:01,0,4.97,idle
12:23:01,0,4.97,idle
12:23:01,0,4.97,idle
12:23:02,0,4.97,idle
12:23:02,0,4.97,idle
12:23:02,0,4.97,idle
12:23:02,0,4.97,idle
12:23:02,0,4.97,idle
12:23:02,0,4.97,idle
12:23:02,0,4.97,idle
12:23:02,0,4.97,idle
12:23:02,0,4.97,idle
12:23:02,0,4.97,idle
12:23:03,0,4.97,idle
12:23:03,0,4.97,idle
12:23:03,0,4.97,idle
12:23:03,0,4.97,idle
12:23:03,0,4.97,idle
12:23:03,0,4.97,idle
12:23:03,0,4.97,idle
12:23:03,0,4.97,idle
12:23:03,0,4.97,idle
12:23:04,0,4.97,idle
12:23:04,0,4.97,idle
12:23:04,0,4.97,idle
12:23:04,0,4.97,idle
12:23:04,0,4.97,idle
12:23:04,0,4.97,idle
12:23:04,0,4.97,idle
12:23:04,0,4.97,idle
12:23:04,0,4.97,idle
12:23:05,0,4.97,idle
12:23:05,0,4.97,idle
12:23:05,0,4.97,idle
12:23:05,0,4.97,idle
12:23:05,0,4.97,idle
12:23:05,0,4.97,idle
12:23:05,0,4.97,idle
12:23:05,0,4.97,idle
12:23:05,0,4.97,idle
12:23:05,0,4.97,idle
12:23:06,0,4.97,idle
12:23:06,0,4.97,idle
12:23:06,0,4.97,idle
12:23:06,0,4.97,idle
12:23:06,0,4.97,idle
12:23:06,0,4.97,idle
12:23:06,0,4.97,idle
12:23:06,0,4.97,idle
12:23:06,0,4.97,idle
12:23:06,0,4.97,idle
12:23:07,0,4.97,idle
12:23:07,0,4.97,idle
12:23:07,0,4.97,idle
12:23:07,0,4.97,idle
12:23:07,0,4.97,idle
12:23:07,0,4.97,idle
12:23:07,0,4.97,idle
12:23:07,0,4.97,idle
12:23:07,0,4.97,idle
12:23:08,0,4.97,idle
12:23:08,0,4.97,idle
12:23:08,0,4.97,idle
12:23:08,0,4.97,idle
12:23:08,0,4.97,idle
12:23:08,0,4.97,idle
12:23:08,0,4.97,idle
12:23:08,0,4.97,idle
12:23:08,0,4.97,idle
12:23:09,0,4.97,idle
12:23:09,0,4.97,idle
12:23:09,0,4.97,idle
12:23:09,0,4.97,idle
12:23:09,0,4.97,idle
12:23:09,0,4.97,idle
12:23:09,0,4.97,idle
12:23:09,0,4.97,idle
12:23:09,0,4.97,idle
12:23:09,0,4.97,idle
12:23:10,0,4.97,idle
12:23:10,0,4.97,idle
12:23:10,0,4.97,idle
12:23:10,0,4.97,idle
12:23:10,0,4.97,idle
12:23:10,0,4.97,idle
12:23:10,0,4.97,idle
12:23:10,0,4.97,idle
12:23:10,0,4.97,idle
12:23:10,0,4.97,idle
12:23:11,0,4.97,idle
12:23:11,0,4.97,idle
12:23:11,0,4.97,idle
12:23:11,0,4.97,idle
12:23:11,0,4.97,idle
12:23:11,0,4.97,idle
12:23:11,0,4.97,idle
12:23:11,0,4.97,idle
12:23:12,0,4.97,idle
12:23:12,0,4.97,idle
12:23:12,0,4.97,idle
12:23:12,0,4.97,idle
12:23:12,0,4.97,idle
12:23:12,0,4.97,idle
12:23:12,0,4.97,idle
12:23:12,0,4.97,idle
12:23:12,0,4.97,idle
12:23:12,0,4.97,idle
12:23:13,0,4.97,idle
12:23:13,0,4.97,idle
12:23:13,0,4.97,idle
12:23:13,0,4.97,idle
12:23:13,0,4.97,idle
12:23:13,0,4.97,idle
12:23:13,0,4.97,idle
12:23:13,0,4.97,idle
12:23:13,0,4.97,idle
12:23:13,0,4.97,idle
12:23:14,0,4.97,idle
12:23:14,0,4.97,idle
12:23:14,0,4.97,idle
12:23:14,0,4.97,idle
12:23:14,0,4.97,idle
12:23:14,0,4.97,idle
12:23:14,0,4.97,idle
12:23:14,0,4.97,idle
12:23:15,0,4.97,idle
12:23:15,0,4.97,idle
12:23:15,0,4.97,idle
12:23:15,0,4.97,idle
12:23:15,0,4.97,idle
12:23:15,0,4.97,idle
12:23:15,0,4.97,idle
12:23:15,0,4.97,idle
12:23:15,0,4.97,idle
12:23:15,0,4.97,idle
12:23:16,0,4.97,idle
12:23:16,0,4.97,idle
12:23:16,0,4.97,idle
12:23:16,0,4.97,idle
12:23:16,0,4.97,idle
12:23:16,0,4.97,idle
12:23:16,0,4.97,idle
12:23:16,0,4.97,idle
12:23:16,0,4.97,idle
12:23:16,0,4.97,idle
12:23:17,0,4.97,idle
12:23:17,0,4.97,idle
12:23:17,0,4.97,idle
12:23:17,0,4.97,idle
12:23:17,0,4.97,idle
12:23:17,0,4.97,idle
12:23:17,0,4.97,idle
12:23:17,0,4.97,idle
12:23:17,0,4.97,idle
12:23:17,0,4.97,idle
12:23:18,0,4.97,idle
12:23:18,0,4.97,idle
12:23:18,0,4.97,idle
12:23:18,0,4.97,idle
12:23:18,0,4.97,idle
12:23:18,0,4.97,idle
12:23:18,0,4.97,idle
12:23:18,0,4.97,idle
12:23:19,0,4.97,idle
12:23:19,0,4.97,idle
12:23:19,0,4.97,idle
12:23:19,0,4.97,idle
12:23:19,0,4.97,idle
12:23:19,0,4.97,idle
12:23:19,0,4.97,idle
12:23:19,0,4.97,idle
12:23:19,0,4.97,idle
12:23:19,0,4.97,idle
12:23:20,0,4.97,idle
12:23:20,0,4.97,idle
12:23:20,0,4.97,idle
12:23:20,0,4.97,idle
12:23:20,0,4.97,idle
12:23:20,0,4.97,idle
12:23:20,0,4.97,idle
12:23:20,0,4.97,idle
12:23:20,0,4.97,idle
12:23:20,0,4.97,idle
12:23:21,0,4.97,idle
12:23:21,0,4.97,idle
12:23:21,0,4.97,idle
12:23:21,0,4.97,idle
12:23:21,0,4.97,idle
12:23:21,0,4.97,idle
12:23:21,0,4.97,idle
12:23:21,0,4.97,idle
12:23:22,0,4.97,idle
12:23:22,0,4.97,idle
12:23:22,0,4.97,idle
12:23:22,0,4.97,idle
12:23:22,0,4.97,idle
12:23:22,0,4.97,idle
12:23:22,0,4.97,idle
12:23:22,0,4.97,idle
12:23:22,0,4.97,idle
12:23:22,0,4.97,idle
12:23:23,0,4.97,idle
12:23:23,0,4.97,idle
12:23:23,0,4.97,idle
12:23:23,0,4.97,idle
12:23:23,0,4.97,idle
12:23:23,0,4.97,idle
12:23:23,0,4.97,idle
12:23:23,0,4.97,idle
12:23:23,0,4.97,idle
12:23:23,0,4.97,idle
12:23:24,0,4.97,idle
12:23:24,0,4.97,idle
12:23:24,0,4.97,idle
12:23:24,0,4.97,idle
12:23:24,0,4.97,idle
12:23:24,0,4.97,idle
12:23:24,0,4.97,idle
12:23:24,0,4.97,idle
12:23:25,0,4.97,idle
12:23:25,0,4.97,idle
12:23:25,0,4.97,idle
12:23:25,0,4.97,idle
12:23:25,0,4.97,idle
12:23:25,0,4.97,idle
12:23:25,0,4.97,idle
12:23:25,0,4.97,idle
12:23:25,0,4.97,idle
12:23:25,0,4.97,idle
12:23:26,0,4.97,idle
12:23:26,0,4.97,idle
12:23:26,0,4.97,idle
12:23:26,0,4.97,idle
12:23:26,0,4.97,idle
12:23:26,0,4.97,idle
12:23:26,0,4.97,idle
12:23:26,0,4.97,idle
12:23:26,0,4.97,idle
12:23:26,0,4.97,idle
12:23:27,0,4.97,idle
12:23:27,0,4.97,idle
12:23:27,0,4.97,idle
12:23:27,0,4.97,idle
12:23:27,0,4.97,idle
12:23:27,0,4.97,idle
12:23:27,0,4.97,idle
12:23:27,0,4.97,idle
12:23:28,0,4.97,idle
12:23:28,0,4.97,idle
12:23:28,0,4.97,idle
12:23:28,0,4.97,idle
12:23:28,0,4.97,idle
12:23:28,0,4.97,idle
12:23:28,0,4.97,idle
12:23:28,0,4.97,idle
12:23:28,0,4.97,idle
12:23:28,0,4.97,idle
12:23:29,0,4.97,idle
12:23:29,0,4.97,idle
12:23:29,0,4.97,idle
12:23:29,0,4.97,idle
12:23:29,0,4.97,idle
12:23:29,0,4.97,idle
12:23:29,0,4.97,idle
12:23:29,0,4.97,idle
12:23:29,0,4.97,idle
12:23:29,0,4.97,idle
12:23:30,0,4.97,idle
12:23:30,0,4.97,idle
12:23:30,0,4.97,idle
12:23:30,0,4.97,idle
12:23:30,0,4.97,idle
12:23:30,0,4.97,idle
12:23:30,0,4.97,idle
12:23:30,0,4.97,idle
12:23:31,0,4.97,idle
12:23:31,0,4.97,idle
12:23:31,0,4.97,idle
12:23:31,0,4.97,idle
12:23:31,0,4.97,idle
12:23:31,0,4.97,idle
12:23:31,0,4.97,idle
12:23:31,0,4.97,idle
12:23:31,0,4.97,idle
12:23:31,0,4.97,idle
12:23:32,0,4.97,idle
12:23:32,0,4.97,idle
12:23:32,0,4.97,idle
12:23:32,0,4.97,idle
12:23:32,0,4.97,idle
12:23:32,0,4.97,idle
12:23:32,0,4.97,idle
12:23:32,0,4.97,idle
12:23:32,0,4.97,idle
12:23:32,0,4.97,idle
12:23:33,0,4.97,idle
12:23:33,0,4.97,idle
12:23:33,0,4.97,idle
12:23:33,0,4.97,idle
12:23:33,0,4.97,idle
12:23:33,0,4.97,idle
12:23:33,0,4.97,idle
12:23:33,0,4.97,idle
12:23:33,0,4.97,idle
12:23:33,0,4.97,idle
12:23:34,0,4.97,idle
12:23:34,0,4.97,idle
12:23:34,0,4.97,idle
12:23:34,0,4.97,idle
12:23:34,0,4.97,idle
12:23:34,0,4.97,idle
12:23:34,0,4.97,idle
12:23:34,0,4.97,idle
12:23:34,0,4.97,idle
12:23:35,0,4.97,idle
12:23:35,0,4.97,idle
12:23:35,0,4.97,idle
12:23:35,0,4.97,idle
12:23:35,0,4.97,idle
12:23:35,0,4.97,idle
12:23:35,0,4.97,idle
12:23:35,0,4.97,idle
12:23:35,0,4.97,idle
12:23:36,0,4.97,idle
12:23:36,0,4.97,idle
12:23:36,0,4.97,idle
12:23:36,0,4.97,idle
12:23:36,0,4.97,idle
12:23:36,0,4.97,idle
12:23:36,0,4.97,idle
12:23:36,0,4.97,idle
12:23:36,0,4.97,idle
12:23:36,0,4.97,idle
12:23:37,0,4.97,idle
12:23:37,0,4.97,idle
12:23:37,0,4.97,idle
12:23:37,0,4.97,idle
12:23:37,0,4.97,idle
12:23:37,0,4.97,idle
12:23:37,0,4.97,idle
12:23:37,0,4.97,idle
12:23:37,0,4.97,idle
12:23:37,0,4.97,idle
12:23:38,0,4.97,idle
12:23:38,0,4.97,idle
12:23:38,0,4.97,idle
12:23:38,0,4.97,idle
12:23:38,0,4.97,idle
12:23:38,0,4.97,idle
12:23:38,0,4.97,idle
12:23:38,0,4.97,idle
12:23:39,0,4.97,idle
12:23:39,0,4.97,idle
12:23:39,0,4.97,idle
12:23:39,0,4.97,idle
12:23:39,0,4.97,idle
12:23:39,0,4.97,idle
12:23:39,0,4.97,idle
12:23:39,0,4.97,idle
12:23:39,0,4.97,idle
12:23:39,0,4.97,idle
12:23:40,0,4.97,idle
12:23:40,0,4.97,idle
12:23:40,0,4.97,idle
12:23:40,0,4.97,idle
12:23:40,0,4.97,idle
12:23:40,0,4.97,idle
12:23:40,0,4.97,idle
12:23:40,0,4.97,idle
12:23:40,0,4.97,idle
12:23:40,0,4.97,idle
12:23:41,0,4.97,idle
12:23:41,0,4.97,idle
12:23:41,0,4.97,idle
12:23:41,0,4.97,idle
12:23:41,0,4.97,idle
12:23:41,0,4.97,idle
12:23:41,0,4.97,idle
12:23:41,0,4.97,idle
12:23:42,0,4.97,idle
12:23:42,0,4.97,idle
12:23:42,0,4.97,idle
12:23:42,0,4.97,idle
12:23:42,0,4.97,idle
12:23:42,0,4.97,idle
12:23:42,0,4.97,idle
12:23:42,0,4.97,idle
12:23:42,0,4.97,idle
12:23:42,0,4.97,idle
12:23:43,0,4.97,idle
12:23:43,0,4.97,idle
12:23:43,0,4.97,idle
12:23:43,0,4.97,idle
12:23:43,0,4.97,idle
12:23:43,0,4.97,idle
12:23:43,0,4.97,idle
12:23:43,0,4.97,idle
12:23:43,0,4.97,idle
12:23:43,0,4.97,idle
12:23:44,0,4.97,idle
12:23:44,0,4.97,idle
12:23:44,0,4.97,idle
12:23:44,0,4.97,idle
12:23:44,0,4.97,idle
12:23:44,0,4.97,idle
12:23:44,0,4.97,idle
12:23:44,0,4.97,idle
12:23:45,0,4.97,idle
12:23:45,0,4.97,idle
12:23:45,0,4.97,idle
12:23:45,0,4.97,idle
12:23:45,0,4.97,idle
12:23:45,0,4.97,idle
12:23:45,0,4.97,idle
12:23:45,0,4.97,idle
12:23:45,0,4.97,idle
12:23:45,0,4.97,idle
12:23:46,0,4.97,idle
12:23:46,0,4.97,idle
12:23:46,0,4.97,idle
12:23:46,0,4.97,idle
12:23:46,0,4.97,idle
12:23:46,0,4.97,idle
12:23:46,0,4.97,idle
12:23:46,0,4.97,idle
12:23:46,0,4.97,idle
12:23:46,0,4.97,idle
12:23:47,0,4.97,idle
12:23:47,0,4.97,idle
12:23:47,0,4.97,idle
12:23:47,0,4.97,idle
12:23:47,0,4.97,idle
12:23:47,0,4.97,idle
12:23:47,0,4.97,idle
12:23:47,0,4.97,idle
12:23:47,0,4.97,idle
12:23:48,0,4.97,idle
12:23:48,0,4.97,idle
12:23:48,0,4.97,idle
12:23:48,0,4.97,idle
12:23:48,0,4.97,idle
12:23:48,0,4.97,idle
12:23:48,0,4.97,idle
12:23:48,0,4.97,idle
12:23:48,0,4.97,idle
12:23:49,0,4.97,idle
12:23:49,0,4.97,idle
12:23:49,0,4.97,idle
12:23:49,0,4.97,idle
12:23:49,0,4.97,idle
12:23:49,0,4.97,idle
12:23:49,0,4.97,idle
12:23:49,0,4.97,idle
12:23:49,0,4.97,idle
12:23:49,0,4.97,idle
12:23:50,0,4.97,idle
12:23:50,0,4.97,idle
12:23:50,0,4.97,idle
12:23:50,0,4.97,idle
12:23:50,0,4.97,idle
12:23:50,0,4.97,idle
12:23:50,0,4.97,idle
12:23:50,0,4.97,idle
12:23:50,0,4.97,idle
12:23:50,0,4.97,idle
12:23:51,0,4.97,idle
12:23:51,0,4.97,idle
12:23:51,0,4.97,idle
12:23:51,0,4.97,idle
12:23:51,0,4.97,idle
12:23:51,0,4.97,idle
12:23:51,0,4.97,idle
12:23:51,0,4.97,idle
12:23:52,0,4.97,idle
12:23:52,0,4.97,idle
12:23:52,0,4.97,idle
12:23:52,0,4.97,idle
12:23:52,0,4.97,idle
12:23:52,0,4.97,idle
12:23:52,0,4.97,idle
12:23:52,0,4.97,idle
12:23:52,0,4.97,idle
12:23:52,0,4.97,idle
12:23:53,0,4.97,idle
12:23:53,0,4.97,idle
12:23:53,0,4.97,idle
12:23:53,0,4.97,idle
12:23:53,0,4.97,idle
12:23:53,0,4.97,idle
12:23:53,0,4.97,idle
12:23:53,0,4.97,idle
12:23:53,0,4.97,idle
12:23:53,0,4.97,idle
12:23:54,0,4.97,idle
12:23:54,0,4.97,idle
12:23:54,0,4.97,idle
12:23:54,0,4.97,idle
12:23:54,0,4.97,idle
12:23:54,0,4.97,idle
12:23:54,0,4.97,idle
12:23:54,0,4.97,idle
12:23:55,0,4.97,idle
