12:47:54.942 >> td
12:47:54.992 trigger debug on
12:47:55.295 >> v
12:47:55.608 a=2239061,b=2241151
12:47:55.608 a=2242235,b=2241151
12:47:55.608 a=2241477,b=2241477
12:47:55.608 a=2236267,b=2241477
12:47:55.608 a=2233877,b=2236267
12:47:55.608 a=2234870,b=2234870
12:47:55.608 a=2237783,b=2234870
12:47:55.608 a=2233528,b=2234870
12:47:55.608 a=2234604,b=2234604
12:47:55.608 a=2241575,b=2234604
12:47:55.608 a=2240816,b=2240816
12:47:55.608 a=2241470,b=2241470
12:47:55.608 a=2241857,b=2241470
12:47:55.608 a=2239821,b=2241470
12:47:55.608 a=2242378,b=2241857
12:47:55.608 a=2242466,b=2242378
12:47:55.608 a=2238879,b=2242378
12:47:55.608 a=2238337,b=2238879
12:47:55.608 a=2242903,b=2238879
12:47:55.608 a=2243021,b=2242903
12:47:55.608 a=2238063,b=2242903
12:47:55.608 a=2236516,b=2238063
12:47:55.608 a=2238340,b=2238063
12:47:55.608 a=2242008,b=2238340
12:47:55.608 a=2240725,b=2240725
12:47:55.608 a=2241149,b=2241149
12:47:55.608 a=2240603,b=2240725
12:47:55.608 a=2241222,b=2241149
12:47:55.608 a=2240542,b=2240603
12:47:55.608 a=2240229,b=2240542
12:47:55.608 a=2238521,b=2240229
12:47:55.609 a=2239049,b=2239049
12:47:55.609 a=2238676,b=2238676
12:47:55.609 a=2237500,b=2238676
12:47:55.609 a=2241757,b=2238676
12:47:55.609 a=2244057,b=2241757
12:47:55.609 a=2243154,b=2243154
12:47:55.609 a=2242453,b=2243154
12:47:55.609 a=2239178,b=2242453
12:47:55.609 a=2239285,b=2239285
12:47:55.609 a=2238087,b=2239178
12:47:55.659 a=2234955,b=2238087
12:47:55.659 a=2234517,b=2234955
12:47:55.659 a=2238344,b=2234955
12:47:55.659 a=2241657,b=2238344
12:47:55.659 a=2242802,b=2241657
12:47:55.659 a=2240792,b=2241657
12:47:55.659 a=2239018,b=2240792
12:47:55.659 a=2239019,b=2239019
12:47:55.659 a=2239571,b=2239019
12:47:55.659 a=2240744,b=2239571
12:47:55.659 a=2240751,b=2240744
12:47:55.660 a=2240101,b=2240744
12:47:55.660 a=2240251,b=2240251
12:47:55.660 a=2241009,b=2240251
12:47:55.660 a=2235328,b=2240251
12:47:55.660 a=2237345,b=2237345
12:47:55.660 a=2237990,b=2237345
12:47:55.660 a=2237190,b=2237345
12:47:55.660 a=2238339,b=2237990
12:47:55.660 a=2238255,b=2238255
12:47:55.660 a=2239405,b=2238339
12:47:55.660 a=2238452,b=2238452
12:47:55.660 a=2237152,b=2238452
12:47:55.660 a=2239826,b=2238452
12:47:55.660 a=2239394,b=2239394
12:47:55.660 a=2239984,b=2239826
12:47:55.660 a=2240073,b=2239984
12:47:55.660 a=2238238,b=2239984
12:47:55.660 a=2236064,b=2238238
12:47:55.660 a=2243605,b=2238238
12:47:55.660 a=2244902,b=2243605
12:47:55.660 a=2242219,b=2243605
12:47:55.660 a=2243908,b=2243908
12:47:55.660 a=2243547,b=2243547
12:47:55.660 a=2239849,b=2243547
12:47:55.660 a=2240846,b=2240846
12:47:55.660 a=2241400,b=2240846
12:47:55.660 a=2237836,b=2240846
12:47:55.660 a=2238092,b=2238092
12:47:55.660 a=2235768,b=2237836
12:47:55.660 a=2237952,b=2237952
12:47:55.660 a=2242985,b=2237952
12:47:55.660 a=2245036,b=2242985
12:47:55.660 a=2240257,b=2242985
12:47:55.660 a=2239260,b=2240257
12:47:55.660 a=2237401,b=2239260
12:47:55.660 a=2235081,b=2237401
12:47:55.660 a=2237887,b=2237401
12:47:55.660 a=2238367,b=2237887
12:47:55.660 a=2237946,b=2237946
12:47:55.660 a=2241742,b=2238367
12:47:55.660 a=2240260,b=2240260
12:47:55.660 a=2237594,b=2240260
12:47:55.661 a=2236575,b=2237594
12:47:55.661 a=2241246,b=2237594
12:47:55.661 a=2242087,b=2241246
12:47:55.661 a=2241595,b=2241595
12:47:55.661 a=2239817,b=2241595
12:47:55.661 a=2236805,b=2239817
12:47:55.661 a=2236592,b=2236805
12:47:55.661 a=2238266,b=2236805
12:47:55.661 a=2236375,b=2236592
12:47:55.661 a=2240532,b=2238266
12:47:55.661 a=2242862,b=2240532
12:47:55.661 a=2240403,b=2240532
12:47:55.661 a=2243785,b=2242862
12:47:55.661 a=2246638,b=2243785
12:47:55.661 a=2243012,b=2243785
12:47:55.661 a=2238509,b=2243012
12:47:55.711 a=2240186,b=2240186
12:47:55.711 a=2239014,b=2239014
12:47:55.711 a=2237372,b=2239014
12:47:55.711 a=2238240,b=2238240
12:47:55.711 a=2241009,b=2238240
12:47:55.711 a=2240740,b=2240740
12:47:55.711 a=2244607,b=2241009
12:47:55.711 a=2243449,b=2243449
12:47:55.711 a=2241295,b=2243449
12:47:55.711 a=2242593,b=2242593
12:47:55.711 a=2238578,b=2241295
12:47:55.711 a=2235108,b=2238578
12:47:55.711 a=2238447,b=2238447
12:47:55.712 a=2240019,b=2238447
12:47:55.712 a=2241354,b=2240019
12:47:55.712 a=2242331,b=2241354
12:47:55.712 a=2240713,b=2241354
12:47:55.712 a=2237251,b=2240713
12:47:55.712 a=2234778,b=2237251
12:47:55.712 a=2235889,b=2235889
12:47:55.712 a=2241466,b=2235889
12:47:55.712 a=2242945,b=2241466
12:47:55.712 a=2242788,b=2242788
12:47:55.712 a=2240275,b=2242788
12:47:55.712 a=2241084,b=2241084
12:47:55.712 a=2240299,b=2240299
12:47:55.712 a=2236852,b=2240299
12:47:55.712 a=2237178,b=2237178
12:47:55.712 a=2238882,b=2237178
12:47:55.712 a=2241347,b=2238882
12:47:55.712 a=2241534,b=2241347
12:47:55.712 a=2241248,b=2241347
12:47:55.712 a=2242029,b=2241534
12:47:55.712 a=2241763,b=2241763
12:47:55.712 a=2237450,b=2241763
12:47:55.712 a=2234409,b=2237450
12:47:55.712 a=2233509,b=2234409
12:47:55.712 a=2235124,b=2234409
12:47:55.712 a=2237351,b=2235124
12:47:55.712 a=2239910,b=2237351
12:47:55.712 a=2243299,b=2239910
12:47:55.712 a=2240443,b=2240443
12:47:55.712 a=2236373,b=2240443
12:47:55.712 a=2238973,b=2238973
12:47:55.712 a=2241745,b=2238973
12:47:55.712 a=2239708,b=2239708
12:47:55.712 a=2237602,b=2239708
12:47:55.712 a=2239393,b=2239393
12:47:55.712 a=2237630,b=2237630
12:47:55.712 a=2238007,b=2238007
12:47:55.712 a=2239003,b=2238007
12:47:55.712 a=2238707,b=2238707
12:47:55.712 a=2236370,b=2238707
12:47:55.713 a=2240414,b=2238707
12:47:55.713 a=2241506,b=2240414
12:47:55.713 a=2242333,b=2241506
12:47:55.713 a=2243703,b=2242333
12:47:55.713 a=2243354,b=2243354
12:47:55.713 a=2241842,b=2243354
12:47:55.713 a=2237966,b=2241842
12:47:55.713 a=2235696,b=2237966
12:47:55.713 a=2240516,b=2237966
12:47:55.713 a=2241876,b=2240516
12:47:55.713 a=2242345,b=2241876
12:47:55.713 a=2247470,b=2242345
12:47:55.713 a=2245919,b=2245919
12:47:55.713 a=2245032,b=2245919
12:47:55.713 a=2241549,b=2245032
12:47:55.763 a=2235560,b=2241549
12:47:55.763 a=2235403,b=2235560
12:47:55.763 a=2235442,b=2235442
12:47:55.763 a=2238820,b=2235442
12:47:55.763 a=2246013,b=2238820
12:47:55.763 a=2244821,b=2244821
12:47:55.763 a=2245449,b=2245449
12:47:55.763 a=2241610,b=2244821
12:47:55.763 a=2236345,b=2241610
12:47:55.763 a=2236889,b=2236889
12:47:55.763 a=2239722,b=2236889
12:47:55.763 a=2236500,b=2236889
12:47:55.763 a=2239594,b=2239594
12:47:55.763 a=2243327,b=2239594
12:47:55.763 a=2240327,b=2240327
12:47:55.764 a=2241047,b=2241047
12:47:55.764 a=2242067,b=2241047
12:47:55.764 a=2239303,b=2241047
12:47:55.764 a=2239467,b=2239467
12:47:55.764 a=2239915,b=2239467
12:47:55.764 a=2240781,b=2239915
12:47:55.764 a=2238978,b=2239915
12:47:55.764 a=2238185,b=2238978
12:47:55.764 a=2238536,b=2238536
12:47:55.764 a=2240126,b=2238536
12:47:55.764 a=2241278,b=2240126
12:47:55.764 a=2243501,b=2241278
12:47:55.764 a=2242082,b=2242082
12:47:55.764 a=2239146,b=2242082
12:47:55.764 a=2241850,b=2241850
12:47:55.764 a=2240412,b=2240412
12:47:55.764 a=2238632,b=2240412
12:47:55.764 a=2233832,b=2238632
12:47:55.764 a=2233059,b=2233832
12:47:55.764 a=2236659,b=2233832
12:47:55.764 a=2239610,b=2236659
12:47:55.764 a=2241864,b=2239610
12:47:55.764 a=2242387,b=2241864
12:47:55.764 a=2241253,b=2241864
12:47:55.764 a=2240683,b=2241253
12:47:55.764 a=2240998,b=2240998
12:47:55.764 a=2240636,b=2240683
12:47:55.764 a=2237282,b=2240636
12:47:55.764 a=2239242,b=2239242
12:47:55.764 a=2237211,b=2237282
12:47:55.764 a=2236610,b=2237211
12:47:55.764 a=2238810,b=2237211
12:47:55.764 a=2237137,b=2237137
12:47:55.764 a=2236443,b=2237137
12:47:55.764 a=2239417,b=2237137
12:47:55.764 a=2241390,b=2239417
12:47:55.764 a=2242522,b=2241390
12:47:55.764 a=2240787,b=2241390
12:47:55.764 a=2241577,b=2241577
12:47:55.764 a=2240611,b=2240787
12:47:55.764 a=2239254,b=2240611
12:47:55.764 a=2241547,b=2240611
12:47:55.764 a=2243759,b=2241547
12:47:55.765 a=2242383,b=2242383
12:47:55.765 a=2241907,b=2242383
12:47:55.765 a=2242721,b=2242383
12:47:55.765 a=2242495,b=2242495
12:47:55.765 a=2242514,b=2242514
12:47:55.765 a=2242787,b=2242514
12:47:55.765 a=2237667,b=2242514
12:47:55.765 a=2234898,b=2237667
12:47:55.765 a=2241141,b=2237667
12:47:55.815 a=2239291,b=2239291
12:47:55.815 a=2238362,b=2239291
12:47:55.815 a=2240989,b=2239291
12:47:55.815 a=2243780,b=2240989
12:47:55.815 a=2240402,b=2240989
12:47:55.815 a=2238424,b=2240402
12:47:55.815 a=2240446,b=2240402
12:47:55.815 a=2239529,b=2239529
12:47:55.815 a=2237686,b=2239529
12:47:55.815 a=2235325,b=2237686
12:47:55.815 a=2236822,b=2236822
12:47:55.815 a=2241021,b=2236822
12:47:55.815 a=2239496,b=2239496
12:47:55.815 a=2239584,b=2239584
12:47:55.815 a=2241128,b=2239584
12:47:55.815 a=2240889,b=2240889
12:47:55.815 a=2238108,b=2240889
12:47:55.816 a=2240506,b=2240506
12:47:55.816 a=2241781,b=2240506
12:47:55.816 a=2241177,b=2241177
12:47:55.816 a=2238602,b=2241177
12:47:55.816 a=2238495,b=2238602
12:47:55.816 a=2237775,b=2238495
12:47:55.816 a=2238683,b=2238495
12:47:55.816 a=2245173,b=2238683
12:47:55.816 a=2242435,b=2242435
12:47:55.816 a=2241381,b=2242435
12:47:55.816 a=2241724,b=2241724
12:47:55.816 a=2237362,b=2241381
12:47:55.816 a=2238112,b=2238112
12:47:55.816 a=2239101,b=2238112
12:47:55.816 a=2239318,b=2239101
12:47:55.816 a=2242848,b=2239318
12:47:55.816 a=2241401,b=2241401
12:47:55.816 a=2238658,b=2241401
12:47:55.816 a=2236406,b=2238658
12:47:55.816 a=2239984,b=2238658
12:47:55.816 a=2244322,b=2239984
12:47:55.816 a=2241854,b=2241854
12:47:55.816 a=2238671,b=2241854
12:47:55.816 a=2237714,b=2238671
12:47:55.816 a=2237600,b=2237714
12:47:55.816 a=2236369,b=2237600
12:47:55.816 a=2237358,b=2237358
12:47:55.816 a=2241426,b=2237358
12:47:55.816 a=2243167,b=2241426
12:47:55.816 a=2244813,b=2243167
12:47:55.816 a=2239888,b=2243167
12:47:55.816 a=2239890,b=2239890
12:47:55.816 a=2241797,b=2239890
12:47:55.816 a=2239346,b=2239890
12:47:55.816 a=2239083,b=2239346
12:47:55.816 a=2239423,b=2239346
12:47:55.816 a=2239315,b=2239315
12:47:55.816 a=2240921,b=2239423
12:47:55.816 a=2239277,b=2239315
12:47:55.816 a=2240326,b=2240326
12:47:55.816 a=2243503,b=2240326
12:47:55.816 a=2242965,b=2242965
12:47:55.817 a=2241251,b=2242965
12:47:55.817 a=2240752,b=2241251
12:47:55.817 a=2239843,b=2240752
12:47:55.817 a=2239500,b=2239843
12:47:55.817 a=2240281,b=2239843
12:47:55.817 a=2236673,b=2239500
12:47:55.817 a=2233473,b=2236673
12:47:55.817 a=2234762,b=2234762
12:47:55.817 a=2236654,b=2234762
12:47:55.867 a=2238543,b=2236654
12:47:55.867 a=2241100,b=2238543
12:47:55.867 a=2241297,b=2241100
12:47:55.867 a=2243173,b=2241297
12:47:55.867 a=2242044,b=2242044
12:47:55.867 a=2242282,b=2242282
12:47:55.867 a=2238561,b=2242044
12:47:55.867 a=2238334,b=2238561
12:47:55.867 a=2237806,b=2238334
12:47:55.867 a=2238590,b=2238334
12:47:55.867 a=2239912,b=2238590
12:47:55.867 a=2241279,b=2239912
12:47:55.867 a=2241356,b=2241279
