Sample,Timestamp,Current Error
1072,5360.08,-0.04
1073,5365.06,0.00
1074,5370.11,0.00
1075,5375.06,-0.05
1076,5380.10,0.01
1077,5385.08,0.04
1078,5390.11,-0.06
1079,5395.06,0.04
1080,5400.12,0.04
1081,5405.10,-0.05
1082,5410.07,0.00
1083,5415.12,0.02
1084,5420.06,-0.05
1085,5425.05,-0.04
1086,5430.07,0.05
1087,5435.06,-0.01
1088,5440.08,0.01
1089,5445.07,0.01
1090,5450.05,0.05
1091,5455.07,-0.06
1092,5460.09,0.02
1093,5465.06,0.07
1094,5470.12,-0.05
1095,5475.08,0.01
1096,5480.05,0.09
1097,5485.08,-0.02
1098,5490.05,0.02
1099,5495.08,0.05
1100,5500.05,-0.02
1101,5505.07,-0.04
1102,5510.12,0.04
1103,5515.06,0.02
1104,5520.12,-0.04
1105,5525.11,0.04
1106,5530.08,0.07
1107,5535.12,-0.04
1108,5540.10,0.01
1109,5545.05,0.07
1110,5550.07,-0.06
1111,5555.04,-0.02
1112,5560.07,0.05
1113,5565.06,0.00
1114,5570.12,-0.04
1115,5575.06,0.04
1116,5580.05,0.04
1117,5585.05,-0.05
1118,5590.10,-0.02
1119,5595.08,0.07
1120,5600.05,-0.04
1121,5605.10,-0.02
1122,5610.08,0.06
1123,5615.06,0.00
1124,5620.11,-0.05
1125,5625.10,-0.04
1126,5630.09,-0.04
1127,5635.05,-0.06
1128,5640.06,0.00
1129,5645.09,-0.04
1130,5650.04,-0.04
1131,5655.04,-0.06
1132,5660.07,-0.04
1133,5665.13,-0.02
1134,5670.12,-0.04
1135,5675.05,-0.04
1136,5680.07,0.02
1137,5685.11,-0.01
1138,5690.12,-0.05
1139,5695.07,0.02
1140,5700.11,0.01
1141,5705.05,-0.02
1142,5710.07,-0.04
1143,5715.04,0.01
1144,5720.11,0.04
1145,5725.07,0.00
1146,5730.12,0.00
1147,5735.07,0.04
1148,5740.09,-0.04
1149,5745.06,0.00
1150,5750.06,0.04
1151,5755.07,-0.06
1152,5760.09,0.04
1153,5765.06,0.06
1154,5770.06,-0.01
1155,5775.05,-0.05
1156,5780.12,0.07
1157,5785.08,0.04
1158,5790.04,-0.06
1159,5795.07,0.00
1160,5800.13,0.02
1161,5805.07,-0.02
1162,5810.06,0.02
1163,5815.12,0.01
1164,5820.07,-0.11
1165,5825.07,0.01
1166,5830.11,0.06
1167,5835.09,0.00
1168,5840.07,-0.04
1169,5845.07,0.04
1170,5850.12,0.04
1171,5855.06,-0.01
1172,5860.04,0.04
1173,5865.09,0.09
1174,5870.06,-0.04
1175,5875.11,0.01
1176,5880.07,0.10
1177,5885.04,0.01
1178,5890.08,0.05
1179,5895.05,0.04
1180,5900.10,0.00
1181,5905.11,-0.01
1182,5910.09,0.09
1183,5915.07,0.07
1184,5920.05,-0.05
1185,5925.07,0.02
1186,5930.12,0.15
1187,5935.10,0.04
1188,5940.07,0.00
1189,5945.12,0.09
1190,5950.06,0.02
1191,5955.07,0.01
1192,5960.06,0.06
1193,5965.11,0.02
1194,5970.07,-0.01
1195,5975.05,-0.02
1196,5980.05,0.06
1197,5985.08,-0.05
1198,5990.06,0.00
1199,5995.07,0.06
1200,6000.06,-0.01
1201,6005.04,-0.01
1202,6010.06,0.04
1203,6015.10,-0.01
1204,6020.07,-0.07
1205,6025.06,0.02
1206,6030.11,-0.01
1207,6035.11,-0.05
1208,6040.09,0.00
1209,6045.04,0.00
1210,6050.05,-0.02
